n,graphmodel,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,ER,1,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,ER,2,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,ER,3,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,ER,4,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,ER,5,0.16666666666666666,0.75,0.01764705882352941,7.0,18.0,0.7894736842105262,0.1111111111111111,0.8,0.011764705882352941,6.0,18.0,0.8421052631578948
1000,ER,6,0.21052631578947367,0.75,0.023529411764705882,7.0,19.0,0.7692307692307692,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,ER,7,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,ER,8,0.21052631578947367,0.75,0.023529411764705882,7.0,19.0,0.7692307692307692,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,ER,9,0.19047619047619047,0.85,0.023529411764705882,5.0,21.0,0.8292682926829269,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
1000,SF,0,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,1,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,2,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,3,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,4,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,5,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,6,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,7,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,8,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,9,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
