n,graphmodel,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,1,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,2,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,3,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,4,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,5,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,6,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,7,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,8,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,ER,9,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,SF,0,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,1,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,2,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,3,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,4,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,5,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,6,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,7,0.10526315789473684,0.8947368421052632,0.011695906432748537,3.0,19.0,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.005847953216374269,2.0,19.0,0.9473684210526315
1000,SF,8,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
1000,SF,9,0.1,0.9473684210526315,0.011695906432748537,2.0,20.0,0.9230769230769231,0.05,1.0,0.005847953216374269,1.0,20.0,0.9743589743589743
