"n","graphmodel","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"ER",0,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"ER",1,0.304347826086957,0.8,0.0411764705882353,7,23,0.744186046511628,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",2,0.333333333333333,0.7,0.0411764705882353,7,21,0.682926829268293,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"ER",3,0.48,0.65,0.0705882352941176,12,25,0.577777777777778,0.2,1,0.0294117647058824,5,25,0.888888888888889
1000,"ER",4,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"ER",5,0.478260869565217,0.6,0.0647058823529412,11,23,0.558139534883721,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",6,0.347826086956522,0.75,0.0470588235294118,8,23,0.697674418604651,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",7,0.5,0.6,0.0705882352941176,12,24,0.545454545454545,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"ER",8,0.391304347826087,0.7,0.0529411764705882,9,23,0.651162790697674,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",9,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"SF",0,0.2,0.842105263157895,0.0233918128654971,4,20,0.82051282051282,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",1,0.227272727272727,0.894736842105263,0.0292397660818713,5,22,0.829268292682927,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",2,0.227272727272727,0.894736842105263,0.0292397660818713,5,22,0.829268292682927,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",3,0.272727272727273,0.842105263157895,0.0350877192982456,6,22,0.780487804878049,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",4,0.1,0.947368421052632,0.0116959064327485,2,20,0.923076923076923,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",5,0.19047619047619,0.894736842105263,0.0233918128654971,4,21,0.85,0.0952380952380952,1,0.0116959064327485,2,21,0.95
1000,"SF",6,0.181818181818182,0.947368421052632,0.0233918128654971,4,22,0.878048780487805,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",7,0.142857142857143,0.947368421052632,0.0175438596491228,3,21,0.9,0.0952380952380952,1,0.0116959064327485,2,21,0.95
1000,"SF",8,0.157894736842105,0.842105263157895,0.0175438596491228,3,19,0.842105263157895,0,1,0,0,19,1
1000,"SF",9,0.2,0.842105263157895,0.0233918128654971,4,20,0.82051282051282,0.05,1,0.00584795321637427,1,20,0.974358974358974
