"n","m","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,2,0,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,2,1,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,2,2,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,2,3,0.48,0.65,0.0705882352941176,12,25,0.577777777777778,0.2,1,0.0294117647058824,5,25,0.888888888888889
1000,2,4,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,2,5,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,2,6,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,2,7,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,2,8,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,2,9,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,3,0,0.583333333333333,0.5,0.0823529411764706,15,24,0.416666666666667,0.208333333333333,0.95,0.0294117647058824,6,24,0.863636363636364
1000,3,1,0.48,0.65,0.0705882352941176,13,25,0.577777777777778,0.24,0.95,0.0352941176470588,7,25,0.844444444444444
1000,3,2,0.52,0.6,0.0764705882352941,14,25,0.533333333333333,0.24,0.95,0.0352941176470588,7,25,0.844444444444444
1000,3,3,0.653846153846154,0.45,0.1,19,26,0.311538461538462,0.307692307692308,0.9,0.0470588235294118,10,26,0.782608695652174
1000,3,4,0.545454545454545,0.5,0.0705882352941176,14,22,0.454545454545455,0.181818181818182,0.9,0.0235294117647059,6,22,0.857142857142857
1000,3,5,0.653846153846154,0.45,0.1,19,26,0.311538461538462,0.307692307692308,0.9,0.0470588235294118,10,26,0.782608695652174
1000,3,6,0.608695652173913,0.45,0.0823529411764706,17,23,0.352173913043478,0.260869565217391,0.85,0.0352941176470588,9,23,0.790697674418605
1000,3,7,0.64,0.45,0.0941176470588235,17,25,0.324,0.24,0.95,0.0352941176470588,7,25,0.844444444444444
1000,3,8,0.64,0.45,0.0941176470588235,18,25,0.324,0.28,0.9,0.0411764705882353,9,25,0.8
1000,3,9,0.454545454545455,0.6,0.0588235294117647,12,22,0.571428571428571,0.181818181818182,0.9,0.0235294117647059,6,22,0.857142857142857
1000,4,0,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,4,1,0.454545454545455,0.6,0.0588235294117647,11,22,0.571428571428571,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,4,2,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,4,3,0.391304347826087,0.7,0.0529411764705882,9,23,0.651162790697674,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,4,4,0.428571428571429,0.6,0.0529411764705882,9,21,0.585365853658537,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,4,5,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,4,6,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,4,7,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,4,8,0.458333333333333,0.65,0.0647058823529412,12,24,0.590909090909091,0.208333333333333,0.95,0.0294117647058824,6,24,0.863636363636364
1000,4,9,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
