n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,10,0,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,1,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,2,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,3,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,4,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,5,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,6,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,7,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,8,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,9,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,20,0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,1,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,20,2,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,3,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,4,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,5,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,6,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,20,7,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,20,8,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,20,9,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,40,0,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,1,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,2,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,3,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,4,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,5,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,6,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,7,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,8,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,9,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,100,0,0.0,0.98,0.0,2.0,98.0,0.98989898989899,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,1,0.0,0.99,0.0,1.0,99.0,0.9949748743718593,0.0,0.99,0.0,1.0,99.0,0.9949748743718593
1000,100,2,0.0,0.98,0.0,2.0,98.0,0.98989898989899,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,3,0.0,0.98,0.0,2.0,98.0,0.98989898989899,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,4,0.0,0.98,0.0,2.0,98.0,0.98989898989899,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,5,0.0,0.99,0.0,1.0,99.0,0.9949748743718593,0.0,0.99,0.0,1.0,99.0,0.9949748743718593
1000,100,6,0.01020408163265306,0.97,0.0002061855670103093,3.0,98.0,0.9797979797979798,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,7,0.0,0.98,0.0,2.0,98.0,0.98989898989899,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,8,0.01020408163265306,0.97,0.0002061855670103093,3.0,98.0,0.9797979797979798,0.0,0.98,0.0,2.0,98.0,0.98989898989899
1000,100,9,0.0,0.99,0.0,1.0,99.0,0.9949748743718593,0.0,0.99,0.0,1.0,99.0,0.9949748743718593
